Reviewed	Classification	UniProt	Title	PDB chain IDs
FALSE	5.4,5.5	Q15109	Q15109 Advanced glycosylation end product-specific receptor OS=Homo sapiens OX=9606 GN=AGER PE=1 SV=1	4lp5A,4p2yA,4ybhA
FALSE	3.3,4.1,4.4	Q04724	Q04724 Transducin-like enhancer protein 1 OS=Homo sapiens OX=9606 GN=TLE1 PE=1 SV=2	1gxrA,1gxrB,2ce8A,2ce8B,2ce8C,2ce8D,2ce9A,2ce9B,2ce9C,2ce9D,4om2A,4om2B,4om2D,4om3C,4om3D,5mwjA,5mwjB
FALSE	3.3	Q9Y765	Q9Y765 Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha OS=Candida albicans OX=5476 GN=RAM2 PE=1 SV=1	3draA,4ydoA
FALSE	3.3	P14585	P14585 Protein lin-12 OS=Caenorhabditis elegans OX=6239 GN=lin-12 PE=1 SV=1	2fo1E
FALSE	3.6	A6ZL36	A6ZL36 Proliferating cell nuclear antigen OS=Saccharomyces cerevisiae (strain YJM789) OX=307796 GN=POL30 PE=1 SV=1	3k4xA
FALSE	4.4	Q8IDQ2	Q8IDQ2 Kelch protein K13 OS=Plasmodium falciparum (isolate 3D7) OX=36329 GN=PF3D7_1343700 PE=1 SV=1	4zgcA,4zgcB
FALSE	4.2	A9CH91	A9CH91 Uncharacterized protein OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu4866 PE=1 SV=1	2jmbA
FALSE	4.1	H2IFX0	H2IFX0 3,6-anhydro-alpha-L-galactonate cycloisomerase OS=Vibrio sp. (strain EJY3) OX=1116375 GN=Vejaci PE=1 SV=1	5xd7A,5xd9A
FALSE	4.2	Q60I24	Q60I24 Monomeric Azami Green OS=Galaxea fascicularis OX=46745 PE=1 SV=1	3adfA
FALSE	5.2	P42703	P42703 Leukemia inhibitory factor receptor OS=Mus musculus OX=10090 GN=Lifr PE=1 SV=1	2q7nA,2q7nC
FALSE	4.10	Q7M1T4	Q7M1T4 Mannose-specific lectin KM+ OS=Artocarpus integer OX=3490 PE=1 SV=1	1j4sA,1j4sD,1j4tA,1j4tB,1j4tC,1j4tD,1j4tF,1j4tG,1j4tH,1j4uA,1j4uB,1j4uC,1j4uD,1vboE,1vboH,1vbpB,4akdC
FALSE	4.4	Q7ZA77	Q7ZA77 Exo-arabinanase OS=Penicillium chrysogenum OX=5076 GN=abnx PE=1 SV=1	3a71A,3a72A
FALSE	3.1	Q8VSL2	Q8VSL2 Serine protease SepA autotransporter OS=Shigella flexneri OX=623 GN=sepA PE=1 SV=1	5j44A
FALSE		Q9BQB6	Q9BQB6 Vitamin K epoxide reductase complex subunit 1 OS=Homo sapiens OX=9606 GN=VKORC1 PE=1 SV=1	6wv3A
FALSE	3.2	A4GWL5	A4GWL5 InlA (Fragment) OS=Listeria monocytogenes OX=1639 GN=inlA PE=1 SV=1	2omxA
FALSE	4.2,3.1	O68900	O68900 Serine protease pet autotransporter OS=Escherichia coli O44:H18 (strain 042 / EAEC) OX=216592 GN=pet PE=1 SV=1	4om9A
FALSE	3.3	Q9UJX4	Q9UJX4 Anaphase-promoting complex subunit 5 OS=Homo sapiens OX=9606 GN=ANAPC5 PE=1 SV=2	5a31O,5g04O,5g05O,6q6gO,6q6hO,6tm5O
FALSE	3.4	Q8IJ93	Q8IJ93 MORN repeat-containing protein 1 OS=Plasmodium falciparum (isolate 3D7) OX=36329 GN=PF3D7_1031200 PE=1 SV=2	6t4dA
FALSE	3.3,4.1,4.4	Q9X6R4	Q9X6R4 Prolyl endopeptidase OS=Aeromonas caviae OX=648 PE=1 SV=1	3iujA,3iulA,3iumA,3iunA,3iuqA,3iurA,3ivmA,3munA,3muoA
FALSE	4.2	P18895	P18895 Alginate production protein AlgE OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=algE PE=1 SV=2	3rbhA,3rbhB,3rbhC,3rbhD,4afkA,4azlA,4azlB,4xnkA,4xnlA,5d5dA,5iyuA
FALSE	3.3,3.3	Q96QK1	Q96QK1 Vacuolar protein sorting-associated protein 35 OS=Homo sapiens OX=9606 GN=VPS35 PE=1 SV=2	2r17C,2r17D,5f0jA,5f0kA,5f0kB,5f0kC,5f0kD,5f0kE,5f0mA,5f0pA,5oshB,5oshE,5oshH,5oshK,5osiB,5osiE,5osiH,5osiK
FALSE	3.6,4.4	A5VGW5	A5VGW5 Glyoxalase/bleomycin resistance protein/dioxygenase OS=Rhizorhabdus wittichii (strain DSM 6014 / CCUG 31198 / JCM 15750 / NBRC 105917 / EY 4224 / RW1) OX=392499 GN=Swit_4902 PE=1 SV=1	3vb0A,3vb0B,3vb0C,3vb0D
FALSE		P04517	P04517 Genome polyprotein OS=Tobacco etch virus OX=12227 PE=1 SV=1	6suqA
FALSE	4.1	A9CG82	A9CG82 Glycerophosphodiester phosphodiesterase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=ugpQ PE=1 SV=1	1zccA,1zccB,1zccC,1zccD,1zccE,1zccF
FALSE	4.4,4.9	P84193	P84193 Aldos-2-ulose dehydratase OS=Phanerodontia chrysosporium OX=2822231 PE=1 SV=3	4a7kA,4a7yA,4a7zA
FALSE	4.4	Q64374	Q64374 Regucalcin OS=Mus musculus OX=10090 GN=Rgn PE=1 SV=1	4gn7A,4gn7B,4gn8A,4gn8B,4gn9A,4gn9B,4gnaA,4gnaB
FALSE	5.3	Q46455	Q46455 Selenocysteine-specific elongation factor OS=Moorella thermoacetica OX=1525 GN=selB PE=1 SV=1	1lvaA,2plyA,2plyB
FALSE		Q15078	Q15078 Cyclin-dependent kinase 5 activator 1 OS=Homo sapiens OX=9606 GN=CDK5R1 PE=1 SV=1	7cngA,7cngB
FALSE	3.1	Q9AJM4	Q9AJM4 Pectate lyase 47 OS=Bacillus sp. TS-47 OX=132676 GN=pl47 PE=1 SV=1	1vblA
FALSE	3.2	Q9EPW9	Q9EPW9 Toll-like receptor 6 OS=Mus musculus OX=10090 GN=Tlr6 PE=1 SV=2	3a79B
FALSE	4.2	V6ALN4	V6ALN4 Putative outer membrane receptor for iron transport OS=Pseudomonas aeruginosa MH27 OX=1306165 GN=PAMH27_5021 PE=1 SV=1	5necA
FALSE	3.3	F8RC03	F8RC03 Qdtf OS=Providencia alcalifaciens OX=126385 GN=qdtf PE=1 SV=1	4xczA,4xd0A,4xd1A
FALSE	4.4	Q9Y3R4	Q9Y3R4 Sialidase-2 OS=Homo sapiens OX=9606 GN=NEU2 PE=1 SV=2	1sntA,1so7A,1vcuA,1vcuB,2f0zA,2f10A,2f11A,2f12A,2f13A,2f24A,2f25A,2f25B,2f26A,2f27A,2f27B,2f28A,2f29A,2f29B,4nc5A,4ncsA
FALSE	4.4	P08648	P08648 Integrin alpha-5 OS=Homo sapiens OX=9606 GN=ITGA5 PE=1 SV=2	3vi4A,4wjkA,4wk0A,4wk2A,4wk4A
FALSE	4.6	A0A452CSU8	A0A452CSU8 N-acetylglucosamine-2-epimerase OS=Nostoc sp. KVJ10 OX=457941 PE=1 SV=1	6f04A
FALSE	4.1	Q5SJX8	Q5SJX8 N-succinylamino acid racemase OS=Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8) OX=300852 GN=TTHA0874 PE=1 SV=1	2zc8A,2zc8B
FALSE	3.3	Q9UK73	Q9UK73 Protein fem-1 homolog B OS=Homo sapiens OX=9606 GN=FEM1B PE=1 SV=1	6lbfA,6lbfB,7cngA,7cngB,7el6A,7el6B
FALSE	3.1	Q0E5W5	Q0E5W5 Putative tail fiber protein OS=Pseudomonas phage LKA1 OX=386793 GN=gp49 PE=1 SV=1	4ru4A,4ru4B,4ru4C,4ru4D,4ru4E,4ru4F
FALSE	4.9	O06522	O06522 Cytolethal distending toxin subunit A OS=Haemophilus ducreyi (strain 35000HP / ATCC 700724) OX=233412 GN=cdtA PE=1 SV=1	1sr4A
FALSE	4.9,4.1	Q82L26	Q82L26 Alpha-galactosidase OS=Streptomyces avermitilis (strain ATCC 31267 / DSM 46492 / JCM 5070 / NBRC 14893 / NCIMB 12804 / NRRL 8165 / MA-4680) OX=227882 GN=agaA2 PE=1 SV=1	3a21A,3a21B,3a22A,3a22B,3a23A,3a23B
FALSE	3.2	K0IE77	K0IE77 Variable lymphocyte receptor (Fragment) OS=Petromyzon marinus OX=7757 PE=1 SV=1	4k79D
FALSE	4.1	I2APN2	I2APN2 Triosephosphate isomerase OS=Leishmania sp. 'siamensis' OX=438838 GN=tim PE=1 SV=1	4gnjA,4gnjB,5cg7B
FALSE	3.1	Q8FV25	Q8FV25 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase OS=Brucella suis biovar 1 (strain 1330) OX=204722 GN=dapD PE=1 SV=1	3eg4A
FALSE	4.2	P28224	P28224 Membrane-bound lysozyme inhibitor of C-type lysozyme OS=Escherichia coli (strain K12) OX=83333 GN=mliC PE=1 SV=2	2f09A
FALSE	3.1	Q03023	Q03023 Serralysin OS=Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1) OX=208964 GN=aprA PE=1 SV=1	1kapP,3vi1B
FALSE	3.4,4.2,3.4	C4T9I0	C4T9I0 LPS-assembly protein LptD OS=Klebsiella pneumoniae OX=573 GN=imp PE=1 SV=1	5iv8A,5iv9A
FALSE	4.1	B0TZW0	B0TZW0 L-amino acid-D/L-Glu epimerase OS=Francisella philomiragia subsp. philomiragia (strain ATCC 25017 / FSC 153 / O#319-036) OX=484022 GN=Fphi_1647 PE=1 SV=1	3r0kA,3r0kB,3r0uA,3r0uB,3r10A,3r10B,3r11A,3r11B,3r1zA,3r1zB
FALSE	3.4	E7FCY1	E7FCY1 Centromere protein J OS=Danio rerio OX=7955 GN=cenpj PE=1 SV=1	4bxpA,4bxqA,4bxrA,4bxrB,4ld1A,4ld3A,4lzfA
FALSE	3.1	P11073	P11073 Pectate lyase C OS=Dickeya chrysanthemi OX=556 GN=pelC PE=1 SV=1	1airA,1o88A,1o8dA,1o8eA,1o8fA,1o8gA,1o8hA,1o8iA,1o8jA,1o8kA,1o8lA,1o8mA,1pluA,2eweA,2pecA
FALSE	3.1	Q5SHG1	Q5SHG1 Uncharacterized protein OS=Thermus thermophilus (strain ATCC 27634 / DSM 579 / HB8) OX=300852 GN=TTHA1769 PE=1 SV=1	6ria1,6ria4,6ria6,6riaA,6riaC,6riaE,6riaF,6riaI,6riaK,6riaL,6riaT,6riaW,6riaX,6riaY,6ribA,6ribB,6ribC,6ribD,6ribE,6ribF,6ribG,6ribH,6ribI,6ribJ,6ribK,6ribL,6ribM,6ribN,6ribO,6ribP,6ribQ,6ribR,6ribS,6ribT,6ribU,6ribV
FALSE	3.1	H2BD96	H2BD96 Uncharacterized protein OS=Pseudomonas phage phi297 OX=1129145 GN=phi297_00061 PE=1 SV=1	4ru5A,4ru5B,4ru5C
FALSE	3.1	G8GV21	G8GV21 Tailspike OS=Salmonella phage 9NA OX=1113547 GN=9NA_055 PE=1 SV=1	3riqA
FALSE	4.4	Q89YR8	Q89YR8 Two-component system sensor histidine kinase/response OS=Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / JCM 5827 / CCUG 10774 / NCTC 10582 / VPI-5482 / E50) OX=226186 GN=BT_4663 PE=1 SV=1	4a2lB,4a2lE,4a2mA,4a2mB,4a2mC,4a2mD
FALSE	3.2	Q4G1L3	Q4G1L3 Variable lymphocyte receptor B OS=Eptatretus burgeri OX=7764 GN=VLRB PE=1 SV=1	2o6sA,2o6sB,3a79B,3rfsA,3rfsB,4j4lA,4uipB
FALSE	3.6	Q1R4N6	Q1R4N6 Beta sliding clamp OS=Escherichia coli (strain UTI89 / UPEC) OX=364106 GN=dnaN PE=1 SV=1	4k74A
FALSE	4.1	C4M5C6	C4M5C6 Deoxyribose-phosphate aldolase OS=Entamoeba histolytica OX=5759 GN=EHI_121800 PE=1 SV=1	3ngjA,3ngjB,3ngjC,3ngjD
FALSE	4.2,4.2	P42212	P42212 Green fluorescent protein OS=Aequorea victoria OX=6100 GN=GFP PE=1 SV=1	6wv3A
FALSE	3.3	Q72L02	Q72L02 Hypothetical conserved protein OS=Thermus thermophilus (strain ATCC BAA-163 / DSM 7039 / HB27) OX=262724 GN=TT_C0263 PE=1 SV=1	2pl2A,2pl2B
FALSE	3.1	Q9PIM1	Q9PIM1 Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase OS=Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168) OX=192222 GN=lpxA PE=1 SV=1	3r0sA
FALSE	4.2	P02931	P02931 Outer membrane porin F OS=Escherichia coli (strain K12) OX=83333 GN=ompF PE=1 SV=1	1bt9A,1gfmA,1gfnA,1gfoA,1gfpA,1gfqA,1hxtA,1hxuA,1hxxA,1mpfA,1opfA,1opfB,1opfC,1opfD,1opfE,1opfF,2omfA,2zfgA,2zldA,2zldB,3fyxA,3hw9A,3hw9B,3hwbB,3k19A,3k19B,3k19C,3k19D,3k19E,3k19F,3k19G,3k19H,3k19I,3k19J,3k19K,3k19L,3k1bA,3k1bB,3k1bC,3o0eA,3o0eB,3o0eC,3o0eD,3o0eE,3o0eF,3poqA,3pouA,3poxA,3poxB,3poxC,3poxD,3poxE,3poxF,4d5uA,4d5uB,4d5uC,4d5uD,4d5uE,4d5uF,4jfbA,4jfbB,4jfbC,4jfbD,4jfbE,4jfbF,4lseA,4lseB,4lseC,4lsfA,4lsfB,4lshA,4lshB,5nuoA,5nuoC,5nuoE,5nuqA,5nuqC,5nuqD,5nuqE,5nuqF,5nurA,5nurC,5nurE
FALSE	3.1	A0A0F6AR69	A0A0F6AR69 Serine acetyltransferase OS=Brucella abortus (strain S19) OX=430066 GN=BAbS19_I11940 PE=1 SV=1	4hzcA
FALSE	4.1	I1VWH9	I1VWH9 Alpha-amylase OS=Anoxybacillus ayderensis OX=265546 PE=1 SV=1	5a2aA
FALSE	4.4	Q70DK5	Q70DK5 Xyloglucanase Xgh74A OS=Acetivibrio thermocellus OX=1515 GN=xghA PE=1 SV=1	2cn2A,2cn2B,2cn2C,2cn2D,2cn3A,2cn3B
FALSE	4.1	Q8U0A9	Q8U0A9 2-dehydro-3-deoxyphosphoheptonate aldolase OS=Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1) OX=186497 GN=PF1690 PE=1 SV=1	1zcoA,1zcoB,4c1kA,4c1kB,4c1kC,4c1kD,4c1kE,4c1kF,4c1lA,4c1lB,4grsA,4grsB,4grsC,4grsD
FALSE		P60953	P60953 Cell division control protein 42 homolog OS=Homo sapiens OX=9606 GN=CDC42 PE=1 SV=2	6supA
FALSE	3.3	Q24367	Q24367 Inscuteable OS=Drosophila melanogaster OX=7227 GN=insc PE=1 SV=1	5a7dL
FALSE	4.4	O81226	O81226 Glutamine cyclotransferase OS=Carica papaya OX=3649 PE=1 SV=1	2fawA,2fawB,2iwaA
FALSE	4.4	P52697	P52697 6-phosphogluconolactonase OS=Escherichia coli (strain K12) OX=83333 GN=pgl PE=1 SV=2	1ri6A
FALSE	3.4	A0A0H2UP31	A0A0H2UP31 Putative pneumococcal surface protein OS=Streptococcus pneumoniae serotype 4 (strain ATCC BAA-334 / TIGR4) OX=170187 GN=SP_0667 PE=4 SV=1	4cnlA
FALSE	4.1	O34790	O34790 Heptaprenylglyceryl phosphate synthase OS=Bacillus subtilis (strain 168) OX=224308 GN=pcrB PE=1 SV=1	1vizA,3w00B
FALSE	2.2,4.4	P16649	P16649 General transcriptional corepressor TUP1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TUP1 PE=1 SV=2	1erjA,1erjB,1erjC,3vp8A,3vp8B,3vp8C
FALSE	4.1	A0QLL2	A0QLL2 Deoxyribose-phosphate aldolase OS=Mycobacterium avium (strain 104) OX=243243 GN=deoC PE=1 SV=1	3ng3A,3ng3B,3ng3C,3ng3D
FALSE	4.2	P06129	P06129 Vitamin B12 transporter BtuB OS=Escherichia coli (strain K12) OX=83333 GN=btuB PE=1 SV=2	1nqeA,1nqfA,1nqgA,1nqhA,1ujwA,2gskA,2gufA,2ysuA,3m8bA,3m8dA,3rgmA,3rgnA
FALSE	3.2	A6QNK7	A6QNK7 CD180 molecule OS=Bos taurus OX=9913 GN=CD180 PE=1 SV=1	3rg1A,3rg1B,3rg1E,3rg1F,3rg1I,3rg1J,3rg1M,3rg1N
FALSE	4.4	P68512	P68512 Fish-egg lectin OS=Cyprinus carpio OX=7962 PE=1 SV=1	4ruqA,4rusA,4rusC,4rusD,4rusE,4rusF
FALSE	4.10	Q8L5H4	Q8L5H4 Lectin OS=Musa acuminata OX=4641 PE=1 SV=1	1x1vA,1x1vB,3mitA,3mitB,3miuA,3miuB,3mivA,3mivB
FALSE	4.9	O87120	O87120 Cytolethal distending toxin subunit A OS=Aggregatibacter actinomycetemcomitans OX=714 GN=cdtA PE=1 SV=1	2f2fA
FALSE	3.2	O75473	O75473 Leucine-rich repeat-containing G-protein coupled receptor 5 OS=Homo sapiens OX=9606 GN=LGR5 PE=1 SV=1	4bsrA,4bsrB,4bssA,4bssB,4bssE,4bssF,4bstA,4bstB,4bsuA,4bsuB,4bsuE,4bsuF,4kngA,4kngB,4ufrA,4ufrC,4ufsA
FALSE	4.1	Q9PIC1	Q9PIC1 Orotidine 5'-phosphate decarboxylase OS=Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168) OX=192222 GN=pyrF PE=1 SV=1	3ru6A,3ru6B,3ru6C,3ru6D
FALSE	4.4	Q9Y2M5	Q9Y2M5 Kelch-like protein 20 OS=Homo sapiens OX=9606 GN=KLHL20 PE=1 SV=4	5yq4A,6gy5A
FALSE	3.6	O73947	O73947 DNA polymerase sliding clamp OS=Pyrococcus furiosus (strain ATCC 43587 / DSM 3638 / JCM 8422 / Vc1) OX=186497 GN=pcn PE=1 SV=2	1iz4A,3a2fB
FALSE	3.1	A1E266	A1E266 Endopolygalacturonase OS=Colletotrichum lupini var. setosum (nom. inval.) OX=344007 GN=Pg1 PE=1 SV=1	2iq7A,2iq7B,2iq7C,2iq7D,2iq7E,2iq7F,2iq7G
FALSE	4.4	Q96QV1	Q96QV1 Hedgehog-interacting protein OS=Homo sapiens OX=9606 GN=HHIP PE=1 SV=3	2wftA,2wftB,2wfxB,2wg3C,2wg3D,2wg4B,3ho3A,3ho4A,3ho4B,3ho5A,3ho5B
FALSE	4.1,3.3	P0A6L4	P0A6L4 N-acetylneuraminate lyase OS=Escherichia coli (strain K12) OX=83333 GN=nanA PE=1 SV=2	1fdyA,1fdyB,1fdyC,1fdyD,1fdzA,1fdzB,1fdzC,1fdzD,1hl2A,1hl2B,1hl2C,1hl2D,1nal1,1nal2,1nal3,1nal4,2wkjA,2wkjB,2wkjC,2wkjD,2wnnA,2wnnB,2wnnC,2wnnD,2wnqA,2wnqB,2wnqC,2wnqD,2wnzA,2wnzB,2wnzC,2wnzD,2wo5A,2wo5B,2wo5C,2wo5D,2wpbA,2wpbB,2wpbC,2wpbD,2xfwA,2xfwB,2xfwC,2xfwD,2ygyA,2ygyB,2ygyC,2ygyD,3lbcA,3lbcB,3lbcC,3lbcD,3lcfA,3lcfB,3lcfC,3lcfD,3lcgA,3lcgB,3lcgC,3lcgD,3lchA,3lchB,3lchC,3lchD,3lciA,3lciB,3lciC,3lciD,3lclA,3lclB,3lclC,3lclD,3lcwA,3lcwB,3lcwC,3lcwD,3lcxA,3lcxB,3lcxC,3lcxD,4bwlA,4bwlB,4bwlC,4bwlD,4uuiA,4uuiB,4uuiC,4uuiD
FALSE	3.1	Q0P823	Q0P823 2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase OS=Campylobacter jejuni subsp. jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168) OX=192222 GN=dapD PE=1 SV=1	2rijA
FALSE	4.4	I0E093	I0E093 Glycoprotein OS=Ghana virus OX=2847089 GN=G PE=1 SV=1	4uf7A,4uf7B
FALSE	3.4,4.1	Q8DP07	Q8DP07 1,4-beta-N-acetylmuramidase OS=Streptococcus pneumoniae (strain ATCC BAA-255 / R6) OX=171101 GN=lytC PE=1 SV=1	2ww5A,2wwcA
FALSE	4.4	Q9ER30	Q9ER30 Kelch-like protein 41 OS=Rattus norvegicus OX=10116 GN=Klhl41 PE=1 SV=1	2wozA
FALSE	3.1	Q5KW03	Q5KW03 Hypothetical conserved protein OS=Geobacillus kaustophilus (strain HTA426) OX=235909 GN=GK2848 PE=1 SV=1	3vnpA,3vnpB,3vnpC
FALSE	4.1	A0A6L7GXV7	A0A6L7GXV7 Uncharacterized protein OS=Bacillus anthracis OX=1392 GN=GBAA_5098 PE=1 SV=1	3muxA,3muxB
FALSE	4.2	Q57ES7	Q57ES7 MliC domain-containing protein OS=Brucella abortus biovar 1 (strain 9-941) OX=262698 GN=BruAb1_0462 PE=1 SV=1	4mirA
FALSE	3.2	F2YBL9	F2YBL9 APL1B OS=Anopheles gambiae OX=7165 GN=APL1B PE=1 SV=1	4xgoA,4xgoB
FALSE	3.1	P0C1A7	P0C1A7 Pectate lyase L OS=Dickeya dadantii (strain 3937) OX=198628 GN=pelL PE=1 SV=1	1ru4A
FALSE	4.1	A0A0H3JRU9	A0A0H3JRU9 Pyruvate carboxylase OS=Staphylococcus aureus (strain Mu50 / ATCC 700699) OX=158878 GN=pycA PE=1 SV=1	3hb9A
FALSE	4.1	P00880	P00880 Ribulose bisphosphate carboxylase large chain OS=Synechococcus sp. (strain ATCC 27144 / PCC 6301 / SAUG 1402/1) OX=269084 GN=cbbL PE=1 SV=2	3rg6A,3rg6B
FALSE	4.10	A0A0A8IK66	A0A0A8IK66 Heparin-binding protein WGA16 OS=Sus scrofa OX=9823 GN=wga16 PE=1 SV=1	3wobA,3wocA,3wocB,3wocC,3wocD,3wocE,3wocF
FALSE	4.1	A9CIT6	A9CIT6 Dipeptide epimerase OS=Agrobacterium fabrum (strain C58 / ATCC 33970) OX=176299 GN=Atu1648 PE=1 SV=1	4gfiA,4gfiB,4gfiC,4gfiD
FALSE	4.4	A0A0H3G2U5	A0A0H3G2U5 Glutamine cyclotransferase OS=Zymomonas mobilis subsp. mobilis (strain ATCC 10988 / DSM 424 / LMG 404 / NCIMB 8938 / NRRL B-806 / ZM1) OX=555217 GN=Zmob_1289 PE=1 SV=1	3nolA,3nomA,3nomB
FALSE	3.3	P38825	P38825 Protein TOM71 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TOM71 PE=1 SV=1	3fp2A,3fp3A,3fp4A,3lcaA
FALSE	3.3	G0S6G7	G0S6G7 Coatomer subunit beta OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0034860 PE=1 SV=1	5mu7A
FALSE	4.9	Q92913	Q92913 Fibroblast growth factor 13 OS=Homo sapiens OX=9606 GN=FGF13 PE=1 SV=1	3hbwA
FALSE	4.1	P58687	P58687 3-dehydroquinate dehydratase OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) OX=99287 GN=aroD PE=1 SV=1	3l2iA,3l2iB,3lb0A,3lb0B,3m7wA,3m7wB,3m7wC,3m7wD,3m7wE,3m7wF,3nntA,3nntB,3o1nA,3o1nB,3oexA,3oexB,3oexC,3oexD,3s42A,3s42B,4gfsA,4gfsB,4gufA,4gufB,4gugA,4gugB,4guhA,4guhB,4guiA,4guiB,4gujA,4gujB,4iuoA,4iuoB
FALSE	3.2	Q9NZU0	Q9NZU0 Leucine-rich repeat transmembrane protein FLRT3 OS=Homo sapiens OX=9606 GN=FLRT3 PE=1 SV=1	5cmnA,5cmnB,5cmnC,5cmnD,5cmpA,5cmpB,5cmpC,5cmpD,6jbuB
FALSE	4.1	A6T8V8	A6T8V8 Uncharacterized protein OS=Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578) OX=272620 GN=KPN_01598 PE=1 SV=1	3gfxA
FALSE	4.9	S2JLE7	S2JLE7 Uncharacterized protein (Fragment) OS=Mucor circinelloides f. circinelloides (strain 1006PhL) OX=1220926 GN=HMPREF1544_02061 PE=1 SV=1	6lciA
FALSE	3.3,4.1	Q09065	Q09065 Urease accessory protein UreF OS=Helicobacter pylori (strain ATCC 700392 / 26695) OX=85962 GN=ureF PE=1 SV=2	2wglA,2wglB,2wglC,3cxnA,3cxnB,3cxnC,3o1qA,3o1qB,3o1qC,3sf5A,3sf5C,4hi0A,4hi0C
FALSE	4.2	A0A059PIQ0	A0A059PIQ0 Green fluorescent protein (Fragment) OS=Aequorea victoria OX=6100 GN=gfp PE=1 SV=1	4xgyA
FALSE	3.2	E0D2V6	E0D2V6 Variable lymphocyte receptor C OS=Lethenteron camtschaticum OX=980415 GN=VLRC PE=1 SV=1	3wo9A
FALSE	3.2,3.1	O00105	O00105 Isopullulanase OS=Aspergillus niger OX=5061 GN=ipuA PE=1 SV=1	1wmrA,1wmrB,1x0cA,1x0cB,2z8gA,2z8gB,3wwgA,3wwgC,3wwgD
FALSE	4.2	Q6I7B2	Q6I7B2 Fluorescent protein OS=Lithophyllon concinna OX=1911064 GN=mKO PE=1 SV=1	2zmuA
FALSE	3.2	P41391	P41391 Ran GTPase-activating protein 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=rna1 PE=1 SV=1	1k5dC,1k5dF,1k5dI,1k5dL,1k5gC,1k5gF,1k5gI,1k5gL,1yrgA,1yrgB,2ca6A,2ca6B
FALSE	3.3	N0DKS8	N0DKS8 Sodium pumping rhodopsin OS=Dokdonia eikasta OX=308116 GN=NaR PE=1 SV=1	4xtlA,4xtnA,4xtnD,4xtnF,4xtnG,4xtnI,4xtnJ,4xtoA,4xtoB,4xtoC,4xtoD,4xtoE,5jrfA,6rewB,6rewC,6rewD,6rewE,6rexB,6rezB,6rezD,6rezE,6rf0A,6rf0B,6rf0D,6rf0E,6rf4B,6rf4D,6rf5A,6rf6A,6rfcA,6tk1A,6tk4A,6tk6A,6tk7A,6xytA,6xytB,6xytC,6xytD,6xytE,6yc0A,6yc0B,6yc0C,6yc0D,6yc0E,6yc2A,6yc2B,6yc2C,6yc2D,6yc2E,6yc3B,6yc3C,6yc3D,6yc4A,6yc4B,6yc4C,6yc4D,6yc4E
FALSE	4.1	O67496	O67496 4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) OS=Aquifex aeolicus (strain VF5) OX=224324 GN=ispG PE=1 SV=1	3noyA,3noyB,3noyC,3noyD
FALSE	4.1	P0AEJ6	P0AEJ6 Ethanolamine ammonia-lyase large subunit OS=Escherichia coli (strain K12) OX=83333 GN=eutB PE=1 SV=1	3aboA,3aboC,3abqA,3abqC,3abrA,3abrC,3absA,3absC,3anyA,3anyC,3ao0A,3ao0C,5ysnA,5ysnC,5ysrA,5ysrC
FALSE	3.3	F1SVL0	F1SVL0 Topoisomerase V OS=Methanopyrus kandleri (strain AV19 / DSM 6324 / JCM 9639 / NBRC 100938) OX=190192 GN=MK1436 PE=1 SV=1	4gfjA
FALSE	4.1	H1AFK5	H1AFK5 Tryptophan synthase alpha chain OS=Shewanella frigidimarina OX=56812 GN=trpA PE=1 SV=1	3vndA,3vndB,3vndC,3vndD,3vndE,3vndF,3vndG,3vndH
